, height,rise
56708,1.45521e-06,0.000127
32701,1.49052e-06,0.000121
90351,1.45311e-06,0.000129
82010,1.50893e-06,0.000117
39792,1.49031e-06,0.00012
48995,1.49906e-06,0.000122
8915,1.43133e-06,0.000132
14960,1.46266e-06,0.000127
62174,1.5261e-06,0.000116
20447,1.53711e-06,0.000114
508,1.48781e-06,0.000123
74164,1.45294e-06,0.00013
82210,1.49168e-06,0.000119
40077,1.48129e-06,0.000121
33165,1.4998e-06,0.00012
20879,1.46306e-06,0.000125
14972,1.45969e-06,0.00013
95667,1.53018e-06,0.000113
57077,1.51125e-06,0.000117
49525,1.47933e-06,0.000125
9334,1.41753e-06,0.000133
62852,1.49025e-06,0.000121
90798,1.47872e-06,0.000123
74254,1.48151e-06,0.000124
675,1.48162e-06,0.000123
40127,1.492e-06,0.000121
21171,1.49409e-06,0.000121
82826,1.52401e-06,0.000117
63054,1.52531e-06,0.000116
9384,1.49463e-06,0.000124
50027,1.52142e-06,0.000117
95692,1.49778e-06,0.000119
15000,1.10561e-06,0.00013
33315,1.55725e-06,0.00011
57272,1.52671e-06,0.000116
859,1.46591e-06,0.000128
74680,1.46388e-06,0.000126
92123,1.44957e-06,0.00013
40386,1.49422e-06,0.000123
21441,1.44682e-06,0.000126
9975,1.52023e-06,0.000118
63968,1.42436e-06,0.000132
82851,1.49293e-06,0.000123
57394,1.51624e-06,0.000119
1032,1.50302e-06,0.00012
96495,1.54087e-06,0.000112
33485,1.46117e-06,0.00013
50211,1.51253e-06,0.000117
74923,1.44217e-06,0.000132
92125,1.49747e-06,0.00012
41304,1.50064e-06,0.000118
15473,1.54325e-06,0.000111
21455,1.49705e-06,0.000121
10066,1.54887e-06,0.000111
64932,1.47613e-06,0.000124
84058,1.5133e-06,0.000118
57445,1.43474e-06,0.000131
75337,1.45226e-06,0.000128
1066,1.4667e-06,0.000127
41615,1.52235e-06,0.000114
97094,1.54075e-06,0.000115
51159,1.50436e-06,0.000118
92236,1.4992e-06,0.000121
33503,1.47691e-06,0.000123
21938,1.53421e-06,0.000115
15607,1.47316e-06,0.000126
10211,1.52158e-06,0.000118
65441,1.47356e-06,0.000119
57919,1.4643e-06,0.000128
1180,1.50222e-06,0.000119
