,height,rise
56708,5.39608e-07,0.001291
32701,5.43073e-07,0.001284
90351,5.44253e-07,0.001267
82010,5.42372e-07,0.001239
39792,5.40829e-07,0.001247
48995,5.39041e-07,0.001269
8915,5.42977e-07,0.00128
14960,5.39836e-07,0.001253
62174,5.39855e-07,0.001203
508,5.46003e-07,0.001221
20447,5.411e-07,0.001236
74164,5.44111e-07,0.001308
82210,5.38386e-07,0.001221
40077,5.38897e-07,0.001215
33165,5.44029e-07,0.001276
20879,5.42453e-07,0.001237
14972,5.38985e-07,0.001278
95667,5.46445e-07,0.001311
57077,5.39345e-07,0.001244
49525,5.38522e-07,0.001265
9334,5.41789e-07,0.001229
62852,5.42658e-07,0.001208
90798,5.4105e-07,0.001276
74254,5.41893e-07,0.001252
675,5.42793e-07,0.001249
40127,5.40679e-07,0.001248
21171,5.43768e-07,0.001278
82826,5.41495e-07,0.00128
63054,5.43547e-07,0.001305
9384,5.40154e-07,0.001251
50027,5.432e-07,0.001289
95692,5.38672e-07,0.001219
15000,5.43258e-07,0.001286
33315,5.40142e-07,0.001201
57272,5.43661e-07,0.001309
859,5.38701e-07,0.001196
74680,5.35169e-07,0.001199
92123,5.4586e-07,0.001279
40386,5.40905e-07,0.001227
21441,5.41611e-07,0.001254
9975,5.4018e-07,0.001281
63968,5.48259e-07,0.00127
82851,5.42432e-07,0.001257
57394,5.44004e-07,0.00128
1032,5.45099e-07,0.00125
96495,5.38748e-07,0.001235
33485,5.38632e-07,0.001224
50211,5.40422e-07,0.001215
74923,5.43484e-07,0.001276
92125,5.42135e-07,0.001293
41304,5.40911e-07,0.001286
15473,5.38101e-07,0.001215
21455,5.41284e-07,0.001228
10066,5.40985e-07,0.00127
64932,5.3818e-07,0.001224
84058,5.39368e-07,0.001221
57445,5.4434e-07,0.001274
75337,5.41571e-07,0.001237
1066,5.42225e-07,0.00126
41615,5.39439e-07,0.001251
97094,5.47992e-07,0.001308
51159,5.39276e-07,0.00125
92236,5.39846e-07,0.001278
33503,5.46549e-07,0.001308
21938,5.40648e-07,0.001272
15607,5.39885e-07,0.00125
10211,5.40175e-07,0.001224
65441,5.39341e-07,0.001251
57919,5.39813e-07,0.001232
1180,5.46162e-07,0.00127
41772,5.41613e-07,0.001255
75689,5.39766e-07,0.001247
97295,5.43761e-07,0.001235
84420,5.40818e-07,0.001243
22007,5.39152e-07,0.001194
92383,5.40115e-07,0.001239
10612,5.43626e-07,0.001288
66758,5.41598e-07,0.001309
51636,5.3853e-07,0.001195
33858,5.43862e-07,0.001275
15974,5.4125e-07,0.001272
57962,5.37725e-07,0.001282
76008,5.36695e-07,0.001227
1284,5.39764e-07,0.001327
42085,5.42369e-07,0.001283
98025,5.3857e-07,0.001242
67127,5.38632e-07,0.001223
10615,5.42327e-07,0.001213
22813,5.42939e-07,0.001238
84935,5.41624e-07,0.00129
92531,5.41372e-07,0.001223
34184,5.41609e-07,0.001268
58284,5.42296e-07,0.001227
1403,5.45356e-07,0.001283
51639,5.36918e-07,0.001175
76043,5.4286e-07,0.001257
98327,5.39348e-07,0.001246
15980,5.41062e-07,0.001222
42540,5.44761e-07,0.001243
23208,5.43602e-07,0.001276
11228,5.43075e-07,0.001218
67670,5.39333e-07,0.001231
58363,5.44904e-07,0.001299
85542,5.4279e-07,0.001304
34261,5.37943e-07,0.001222
93209,5.40619e-07,0.001228
51964,5.43154e-07,0.001319
76315,5.41608e-07,0.001245
1995,5.43059e-07,0.001264
98764,5.45465e-07,0.001271
16277,5.39386e-07,0.001209
42588,5.42848e-07,0.00123
11447,5.41797e-07,0.001299
23339,5.42634e-07,0.001313
68103,5.40649e-07,0.001232
86213,5.40594e-07,0.001303
58491,5.43961e-07,0.001236
52034,5.43493e-07,0.00122
93348,5.38989e-07,0.001292
34975,5.42552e-07,0.001322
43041,5.44263e-07,0.001273
2441,5.41891e-07,0.001263
76622,5.42016e-07,0.001263
99131,5.39705e-07,0.001247
16652,5.34388e-07,0.001188
11643,5.42978e-07,0.001242
24220,5.42872e-07,0.001288
68519,5.38341e-07,0.001262
52475,5.42153e-07,0.00126
94509,5.36341e-07,0.001209
35274,5.40867e-07,0.001275
43073,5.44301e-07,0.001282
59645,5.41928e-07,0.001218
76778,5.39679e-07,0.001234
86673,5.45154e-07,0.001263
99858,5.40122e-07,0.001265
12075,5.40263e-07,0.001238
16963,5.4529e-07,0.001261
3403,5.45409e-07,0.001252
24956,5.40566e-07,0.00127
71139,5.40927e-07,0.001252
52980,5.38503e-07,0.001224
95551,5.42051e-07,0.001242
43446,5.45813e-07,0.001315
35560,5.47477e-07,0.001365
60077,5.37935e-07,0.001214
77599,5.38397e-07,0.001259
99931,5.41304e-07,0.00122
25768,5.39917e-07,0.001249
12484,5.43317e-07,0.001288
86682,5.4357e-07,0.001253
3517,5.41168e-07,0.001252
71413,5.46708e-07,0.001361
17118,5.43721e-07,0.001286
44181,5.3661e-07,0.001193
53864,5.4125e-07,0.001227
95583,5.35789e-07,0.00121
77762,5.4545e-07,0.001263
35750,5.39006e-07,0.00121
60362,5.44807e-07,0.001252
26372,5.41988e-07,0.001259
12840,5.41719e-07,0.00128
3623,5.44627e-07,0.001291
71723,5.4881e-07,0.001347
87468,5.42399e-07,0.00128
17145,5.39511e-07,0.001219
44427,5.4456e-07,0.001275
36670,5.39137e-07,0.001198
78356,5.38518e-07,0.001203
54292,5.39634e-07,0.001218
26534,5.4165e-07,0.001277
71883,5.39076e-07,0.00128
87599,5.4746e-07,0.001244
12953,5.39833e-07,0.001244
60773,5.38606e-07,0.001231
3837,5.49411e-07,0.001347
17195,5.40992e-07,0.001307
5211,5.38718e-07,0.001293
46044,5.42605e-07,0.001278
36776,5.38779e-07,0.001244
27538,5.4531e-07,0.001263
13310,5.3956e-07,0.001282
54494,5.39215e-07,0.001297
78395,5.45444e-07,0.001303
87615,5.45698e-07,0.00132
72302,5.42977e-07,0.001212
60786,5.41506e-07,0.001242
4119,5.42162e-07,0.001191
5816,5.40874e-07,0.001262
