,height,rise
39792,5.4058e-07,0.001243
32701,5.4138e-07,0.001279
14960,5.39646e-07,0.001194
48995,5.40373e-07,0.001223
82010,5.41272e-07,0.001265
20447,5.41864e-07,0.001266
90351,5.39528e-07,0.001233
508,5.43817e-07,0.001265
74164,5.42129e-07,0.001281
62174,5.41349e-07,0.001277
56708,5.42555e-07,0.001226
8915,5.41751e-07,0.001252
82210,5.40603e-07,0.001298
33165,5.43122e-07,0.001285
49525,5.4489e-07,0.001279
40077,5.42225e-07,0.001221
74254,5.41519e-07,0.001237
62852,5.42005e-07,0.001224
14972,5.43323e-07,0.001224
90798,5.40819e-07,0.001225
95667,5.42644e-07,0.001282
20879,5.42192e-07,0.001284
675,5.43813e-07,0.001272
57077,5.39836e-07,0.001237
9334,5.42064e-07,0.001275
40127,5.45338e-07,0.001237
82826,5.43646e-07,0.001265
74680,5.43901e-07,0.001277
33315,5.40752e-07,0.001251
50027,5.39875e-07,0.0012
63054,5.41506e-07,0.001231
92123,5.42317e-07,0.00129
21171,5.42946e-07,0.001278
95692,5.39786e-07,0.001294
57272,5.42967e-07,0.001298
859,5.43422e-07,0.001254
15000,5.46432e-07,0.001293
9384,5.41448e-07,0.001235
40386,5.43621e-07,0.001287
82851,5.42476e-07,0.001222
74923,5.41329e-07,0.001253
50211,5.43464e-07,0.001261
33485,5.43313e-07,0.001317
92125,5.40391e-07,0.001253
21441,5.39991e-07,0.001229
1032,5.40766e-07,0.001195
63968,5.4333e-07,0.001304
96495,5.40634e-07,0.001242
57394,5.43625e-07,0.001279
15473,5.41088e-07,0.001258
41304,5.46078e-07,0.001301
84058,5.36071e-07,0.001214
75337,5.4342e-07,0.001288
51159,5.41085e-07,0.00124
9975,5.44135e-07,0.001331
21455,5.36207e-07,0.0012
1066,5.38591e-07,0.001225
33503,5.43233e-07,0.001295
41615,5.41963e-07,0.001328
97094,5.39306e-07,0.00122
15607,5.44668e-07,0.001232
92236,5.4385e-07,0.001273
84420,5.39785e-07,0.00124
75689,5.34709e-07,0.001243
51636,5.41678e-07,0.001311
57445,5.36824e-07,0.001249
64932,5.41795e-07,0.001285
10066,5.42102e-07,0.001291
1180,5.3735e-07,0.001203
21938,5.42624e-07,0.001247
33858,5.44029e-07,0.001262
92383,5.44179e-07,0.001251
15974,5.39905e-07,0.001253
97295,5.43862e-07,0.001271
41772,5.35991e-07,0.001209
76008,5.43448e-07,0.001234
57919,5.42761e-07,0.001276
65441,5.39196e-07,0.001245
84935,5.47183e-07,0.001285
51639,5.39317e-07,0.001211
10211,5.42042e-07,0.001242
1284,5.4569e-07,0.001252
34184,5.40939e-07,0.001223
92531,5.43056e-07,0.001285
42085,5.43745e-07,0.001274
76043,5.37258e-07,0.001268
22007,5.37359e-07,0.001299
85542,5.40223e-07,0.001176
66758,5.4335e-07,0.001267
51964,5.43443e-07,0.001295
15980,5.43994e-07,0.001251
57962,5.43328e-07,0.001213
98025,5.45248e-07,0.001282
10612,5.39536e-07,0.001234
42540,5.4196e-07,0.001274
86213,5.41457e-07,0.001253
93209,5.42257e-07,0.001253
76315,5.43442e-07,0.001266
52034,5.42174e-07,0.001243
1403,5.4326e-07,0.00126
67127,5.39421e-07,0.001245
58284,5.41352e-07,0.001241
34261,5.42012e-07,0.001279
16277,5.43982e-07,0.001263
98327,5.42645e-07,0.001324
22813,5.38383e-07,0.001233
10615,5.41266e-07,0.001263
42588,5.41426e-07,0.001237
76622,5.41085e-07,0.001264
52475,5.41e-07,0.001275
58363,5.39667e-07,0.00127
86673,5.37452e-07,0.001231
93348,5.4249e-07,0.001304
34975,5.45335e-07,0.001284
1995,5.41233e-07,0.0013
67670,5.38689e-07,0.00122
16652,5.39852e-07,0.001226
23208,5.40597e-07,0.001249
98764,5.3851e-07,0.001273
11228,5.38163e-07,0.001281
43041,5.40521e-07,0.00122
76778,5.44701e-07,0.001275
52980,5.36648e-07,0.001237
94509,5.3964e-07,0.00121
86682,5.42167e-07,0.001261
58491,5.44548e-07,0.001222
35274,5.42804e-07,0.001229
2441,5.43531e-07,0.001273
68103,5.44293e-07,0.001309
23339,5.43785e-07,0.001227
16963,5.38259e-07,0.001232
99131,5.42631e-07,0.001223
11447,5.41057e-07,0.001255
43073,5.48187e-07,0.001249
77599,5.43855e-07,0.001252
53864,5.4069e-07,0.001211
87468,5.37199e-07,0.00122
59645,5.46858e-07,0.00126
95551,5.44537e-07,0.00127
35560,5.42871e-07,0.001285
68519,5.43894e-07,0.001305
17118,5.4073e-07,0.001209
24220,5.42108e-07,0.001276
3403,5.3949e-07,0.001186
99858,5.41312e-07,0.001259
77762,5.4555e-07,0.001355
43446,5.39552e-07,0.001232
87599,5.43704e-07,0.001259
54292,5.4051e-07,0.00125
11643,5.38e-07,0.001173
60077,5.43761e-07,0.001264
95583,5.37044e-07,0.001227
24956,5.39277e-07,0.001218
35750,5.40327e-07,0.001272
99931,5.40715e-07,0.001231
3517,5.42325e-07,0.001263
17145,5.40886e-07,0.001251
78356,5.41519e-07,0.001284
71139,5.42278e-07,0.001301
44181,5.41496e-07,0.001263
54494,5.40657e-07,0.001238
87615,5.41185e-07,0.001248
12075,5.44056e-07,0.001277
25768,5.42428e-07,0.001304
60362,5.39857e-07,0.001208
3623,5.41477e-07,0.00126
36670,5.40507e-07,0.001253
5211,5.41614e-07,0.001264
17195,5.40171e-07,0.00122
78395,5.46237e-07,0.001302
44427,5.43536e-07,0.001289
55082,5.36957e-07,0.001282
71413,5.4072e-07,0.001308
87659,5.38249e-07,0.001257
12484,5.38916e-07,0.001274
26372,5.43861e-07,0.001264
3837,5.42267e-07,0.001296
60773,5.43267e-07,0.001284
5816,5.4128e-07,0.001241
46044,5.41145e-07,0.001265
79012,5.406e-07,0.001221
17243,5.42611e-07,0.001266
36776,5.40482e-07,0.001201
71723,5.44579e-07,0.001262
55770,5.45016e-07,0.001325
87916,5.45787e-07,0.001277
12840,5.37122e-07,0.001189
4119,5.42759e-07,0.001289
26534,5.45232e-07,0.001306
60786,5.38553e-07,0.001265
46190,5.38221e-07,0.001219
17471,5.42521e-07,0.001228
79589,5.47606e-07,0.00134
87983,5.39199e-07,0.001237
55771,5.39459e-07,0.001221
71883,5.43187e-07,0.001237
6704,5.41585e-07,0.001242
36806,5.38496e-07,0.001199
12953,5.41002e-07,0.001235
27538,5.47677e-07,0.001287
17527,5.40445e-07,0.001243
46510,5.42539e-07,0.0013
4146,5.44144e-07,0.001266
60793,5.41911e-07,0.001208
88084,5.4081e-07,0.001263
55787,5.45594e-07,0.001314
79860,5.38256e-07,0.001287
36825,5.40863e-07,0.001218
72302,5.39959e-07,0.00127
6781,5.41948e-07,0.001291
13310,5.42302e-07,0.001317
27774,5.42078e-07,0.001377
88485,5.40127e-07,0.001272
80403,5.40372e-07,0.001226
47346,5.39162e-07,0.001292
17533,5.39456e-07,0.001223
56311,5.38989e-07,0.001253
4642,5.40174e-07,0.001271
60847,5.44549e-07,0.001339
36920,5.43672e-07,0.001292
7279,5.41419e-07,0.001275
72450,5.44343e-07,0.00128
13584,5.40768e-07,0.001263
27846,5.39574e-07,0.00123
80920,5.41761e-07,0.001201
48246,5.39889e-07,0.001332
56325,5.42972e-07,0.001301
88981,5.41026e-07,0.001242
4676,5.45746e-07,0.001327
18831,5.41621e-07,0.001204
61064,5.36381e-07,0.001217
37444,5.41948e-07,0.001257
7315,5.45988e-07,0.001279
72503,5.38991e-07,0.001245
28769,5.42069e-07,0.001249
13656,5.42323e-07,0.00125
81583,5.46014e-07,0.00125
18922,5.42202e-07,0.001296
89339,5.39243e-07,0.001218
56554,5.4474e-07,0.001281
37743,5.42798e-07,0.00121
48411,5.43173e-07,0.001263
61361,5.41588e-07,0.001298
72520,5.407e-07,0.001252
13706,5.43715e-07,0.001219
30050,5.39326e-07,0.001249
56673,5.4214e-07,0.001233
89396,5.42475e-07,0.001271
38225,5.41181e-07,0.001269
81632,5.39817e-07,0.001282
14102,5.42452e-07,0.001194
48612,5.392e-07,0.001179
19108,5.39421e-07,0.001257
19997,5.40909e-07,0.001237
61363,5.3824e-07,0.001212
72652,5.41232e-07,0.00129
13751,5.38656e-07,0.00124
90286,5.43175e-07,0.001253
56691,5.42282e-07,0.00121
81713,5.43208e-07,0.001273
38547,5.40001e-07,0.001267
48782,5.43665e-07,0.001256
30842,5.47294e-07,0.001311
14571,5.39109e-07,0.001227
20179,5.44556e-07,0.001291
19459,5.36664e-07,0.001244
61399,5.40335e-07,0.001231
73545,5.47151e-07,0.001316
13917,5.43512e-07,0.001232
30897,5.38474e-07,0.001262
38658,5.43944e-07,0.001299
14595,5.44673e-07,0.00128
31327,5.42314e-07,0.001318
20264,5.38292e-07,0.001225
61873,5.48077e-07,0.00123
61617,5.43323e-07,0.001253
73977,5.40389e-07,0.001265
39750,5.42066e-07,0.00128
39378,5.39002e-07,0.001244
32564,5.39941e-07,0.001224
74134,5.44091e-07,0.001269
